Description,Amount,Date
Starbucks Coffee,4.50,2024-01-15
Grocery Store Purchase,85.32,2024-01-16
Gas Station Fill-up,45.00,2024-01-17
Amazon Purchase,29.99,2024-01-18
Restaurant Dinner,67.50,2024-01-19
Electric Bill Payment,120.00,2024-01-20
Movie Theater Tickets,24.00,2024-01-21
Pharmacy Prescription,15.75,2024-01-22
Uber Ride,18.50,2024-01-23
Target Shopping,156.78,2024-01-24
Coffee Shop,3.75,2024-01-25
Internet Bill,79.99,2024-01-26
McDonald's Lunch,8.99,2024-01-27
Doctor Visit Copay,25.00,2024-01-28
Parking Fee,12.00,2024-01-29
Grocery Store,92.45,2024-01-30
Netflix Subscription,15.99,2024-02-01
Gas Station,38.75,2024-02-02
Restaurant Lunch,23.50,2024-02-03
Walmart Shopping,78.90,2024-02-04
